id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
502356,Super Mario Bros: La película,2023,92,"Familia, Comedia, Aventura, Animación, Fantasía",Universal Pictures,2023-04-05,"Chris Pratt, Anya Taylor-Joy, Charlie Day","Aaron Horvath, Michael Jelenic",9782,7.619,https://image.tmdb.org/t/p/w500/zNKs1T0VZuJiVuhuL5GSCNkGdxf.jpg
667538,Transformers: El despertar de las bestias,2023,127,"Ciencia ficción, Aventura, Acción",Skydance Media,2023-06-06,"Anthony Ramos, Dominique Fishback, Peter Cullen",Steven Caple Jr.,4955,7.224,https://image.tmdb.org/t/p/w500/peIB7KBBrqW0JsCLQBt9ChEtZ7m.jpg
980489,Gran Turismo,2023,134,"Aventura, Acción, Drama",PlayStation Productions,2023-08-09,"Archie Madekwe, David Harbour, Orlando Bloom",Neill Blomkamp,3014,7.8,https://image.tmdb.org/t/p/w500/tVj5dn15iwkMhjU2wIih1yMy5LK.jpg
868759,Ghosting,2023,117,"Acción, Comedia, Romance",Skydance Media,2023-04-18,"Chris Evans, Ana de Armas, Adrien Brody",Dexter Fletcher,1937,6.943,https://image.tmdb.org/t/p/w500/zSw2JeQ03GivcS4VKJmWK5sYi1F.jpg
298618,Flash,2023,144,"Aventura, Acción, Ciencia ficción",Warner Bros. Pictures,2023-06-13,"Ezra Miller, Sasha Calle, Michael Keaton",Andy Muschietti,4587,6.649,https://image.tmdb.org/t/p/w500/gNbZNuZ2fBferjJspfmvnskODGc.jpg
940551,Migración. Un viaje patas arriba,2023,82,"Familia, Comedia, Aventura, Animación",Universal Pictures,2023-12-06,"Kumail Nanjiani, Elizabeth Banks, Caspar Jennings",Benjamin Renner,2041,7.388,https://image.tmdb.org/t/p/w500/diEeiB2DmZZadHISkg24RO2n0rT.jpg
976573,Elemental,2023,102,"Animación, Comedia, Familia, Fantasía, Romance",Pixar,2023-06-14,"Leah Lewis, Mamoudou Athie, Ronnie del Carmen",Peter Sohn,4843,7.613,https://image.tmdb.org/t/p/w500/d79DeKDCgFOM23O8Dr6MELZVooY.jpg
572802,Aquaman y el reino perdido,2023,124,"Acción, Aventura, Fantasía",Warner Bros. Pictures,2023-12-20,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II",James Wan,3122,6.6,https://image.tmdb.org/t/p/w500/a0QwtpUNIKjOlNoOVmk7d2LFnQW.jpg
507089,Five Nights at Freddy's,2023,109,"Terror, Suspense",Blumhouse Productions,2023-10-25,"Josh Hutcherson, Piper Rubio, Elizabeth Lail",Emma Tammi,4424,7.44,https://image.tmdb.org/t/p/w500/8KzQdF8xERPFvCnrHKfaXuNQBH4.jpg
926393,The Equalizer 3,2023,109,"Acción, Suspense, Crimen",Columbia Pictures,2023-08-30,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea",Antoine Fuqua,3319,7.314,https://image.tmdb.org/t/p/w500/eJKmexmCLwuxOxlAURSMnBVkfmY.jpg
615656,Megalodón 2: La fosa,2023,116,"Acción, Ciencia ficción, Terror",Apelles Entertainment,2023-08-02,"Jason Statham, 吴京, Shuya Sophia Cai",Ben Wheatley,3622,6.43,https://image.tmdb.org/t/p/w500/mBgynPDplmo5JTY9VfGqY35OjDu.jpg
447365,Guardianes de la Galaxia: Volumen 3,2023,150,"Ciencia ficción, Aventura, Acción, Comedia",Marvel Studios,2023-05-03,"Chris Pratt, Zoe Saldaña, Dave Bautista",James Gunn,7451,7.9,https://image.tmdb.org/t/p/w500/6GkKzdNosVAL7UGgwTtCHSxLQ67.jpg
1092899,El Asedio,2023,97,"Acción, Suspense",MSR Media SKN,2023-03-10,"Daniel Stisen, Lauren Okadigbo, Yennis Cheung",Brad Watson,54,5.528,https://image.tmdb.org/t/p/w500/d9jrfsJx7wkDnouIqwnXQ7xayIm.jpg
1072790,Cualquiera menos tú,2023,103,"Romance, Comedia",Olive Bridge Entertainment,2023-12-21,"Sydney Sweeney, Glen Powell, Mia Artemis",Will Gluck,2616,6.85,https://image.tmdb.org/t/p/w500/vXT7jcza5CPEL9Fo4VSgW5hV7gb.jpg
1135869,Kelas Bintang - Salome,2023,59,"Drama, Romance",Kelas Bintang,2023-05-13,"Ariele Bellus, Bima Prawira, Virly Virginia",,2,10.0,https://image.tmdb.org/t/p/w500/9R94k6pMdLWHwzxSSlKVrPo0EE3.jpg
447277,La sirenita,2023,135,"Aventura, Familia, Fantasía, Romance",Walt Disney Pictures,2023-05-18,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy",Rob Marshall,3085,6.315,https://image.tmdb.org/t/p/w500/mdszPVnIY7cWgbgJ8zbwu1PiU5V.jpg
884605,Sin malos rollos,2023,104,"Comedia, Romance",Excellent Cadaver,2023-06-15,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",Gene Stupnitsky,3393,6.727,https://image.tmdb.org/t/p/w500/hKlpYtDLBtJEvYVvaUIq39Gh6rI.jpg
1480799,The Great Escape,2023,90,"Acción, Suspense",N/A,2023-05-26,,,4,6.75,https://image.tmdb.org/t/p/w500/iTpgKfg70wbzA15xZF8k1lZhCgM.jpg
934433,Scream VI,2023,123,"Terror, Crimen, Suspense",Radio Silence,2023-03-08,"Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown","Tyler Gillett, Matt Bettinelli-Olpin",2825,6.99,https://image.tmdb.org/t/p/w500/zh0JffFtxcWEJBLKayH3d34WnNT.jpg
787699,Wonka,2023,117,"Comedia, Familia, Fantasía",Warner Bros. Pictures,2023-12-06,"Timothée Chalamet, Calah Lane, Keegan-Michael Key",Paul King,3933,7.078,https://image.tmdb.org/t/p/w500/6eHcR7zwvNSvkOl9jbctU0lvZQ1.jpg
